1,"Irgendwas stimmt nicht, ich weiß noch nicht was"
1,"standard abweichung ist ""off"" im posterior (passt nicht zum prior)"
1,"gefühlt schaut es besser aus"
3,"Ad Reparemeterise: das ist ja cool. Wenn er das sagt, probiern wir das aus"
1,"Ok, I don't really know whats going on"
2,"Something is happening, that is very good. The debugger is useful"
1,"I will need more time to findout more about the numbers"
1,"Maybe the problem is in the model but I couldn't find anything problematic there"
2,"it actually tells you what to do and I think it works now"
2,"maybe setting adapt_step_size to true would be even better"
2,"If i had time I would increase more"
3,"I try to fix the acceptance rate but i dont know"
3,"It is nice to have the graph visualized on the side"
3,"it is nice to see how the chain developes"
1,"I totally see that something is wrong, but I can't really say what."
3,"I like that I also see the trace of the tuning step. This is something I don't see in PYMC"
1,"I still have no idea what this model is"
1,"I am a little lost"
1,"I have no idea what to expect"
2,"It's actually really nice to see it happening"
2,"I dont know pymc that well but with stan you have to write 2-3 different models for one thing "
2,"Maybe its dangerous to have something like this, because the debugger looks great but then you forget to actually check your model predictions"
1,"tau quadriert könnte kritisch sein"
1,"HalfCauchy might be problematic. How could I findout if this creates a problem?"
1,"It is hard to see for me what is wanted in the model."
1,"It looks very abstract"
2,"The debugger is very cool in my opinion"
2,"It's very helpful to get direct feedback"
3,"It's a bit like tensorboard. very comfortable"
1,"I am unsure how to interprete the black areas in the plot"
2,"The tool doesn't show me any issues but the graph looked weird"
1,"The usual things I do don't work so well in vscode in the browser"
2,"This should be ok"
2,"I cant interprete rhat so thats it from me, very usefull information though"
1,"solved something oO but correct?? CHECK"
